x,y,z,rx,ry,rz,时间戳(秒)
400.0,-97.723,200.0,180.0,0.0,0.0,1.09
400.0,-97.472,200.0,180.0,0.0,0.0,1.1
400.0,-97.222,200.0,180.0,0.0,0.0,1.11
400.0,-96.972,200.0,180.0,0.0,0.0,1.12
400.0,-96.722,200.0,180.0,0.0,0.0,1.13
400.0,-96.471,200.0,180.0,0.0,0.0,1.14
400.0,-96.221,200.0,180.0,0.0,0.0,1.15
400.0,-95.971,200.0,180.0,0.0,0.0,1.16
400.0,-95.721,200.0,180.0,0.0,0.0,1.17
400.0,-95.47,200.0,180.0,0.0,0.0,1.18
400.0,-95.22,200.0,180.0,0.0,0.0,1.19
400.0,-94.97,200.0,180.0,0.0,0.0,1.2
400.0,-94.72,200.0,180.0,0.0,0.0,1.21
400.0,-94.469,200.0,180.0,0.0,0.0,1.22
400.0,-94.219,200.0,180.0,0.0,0.0,1.23
400.0,-93.969,200.0,180.0,0.0,0.0,1.24
400.0,-93.719,200.0,180.0,0.0,0.0,1.25
400.0,-93.468,200.0,180.0,0.0,0.0,1.26
400.0,-93.218,200.0,180.0,0.0,0.0,1.27
400.0,-92.968,200.0,180.0,0.0,0.0,1.28
400.0,-92.718,200.0,180.0,0.0,0.0,1.29
400.0,-92.467,200.0,180.0,0.0,0.0,1.3
400.0,-92.217,200.0,180.0,0.0,0.0,1.31
400.0,-91.967,200.0,180.0,0.0,0.0,1.32
400.0,-91.717,200.0,180.0,0.0,0.0,1.33
400.0,-91.466,200.0,180.0,0.0,0.0,1.34
400.0,-91.216,200.0,180.0,0.0,0.0,1.35
400.0,-90.966,200.0,180.0,0.0,0.0,1.36
400.0,-90.716,200.0,180.0,0.0,0.0,1.37
400.0,-90.465,200.0,180.0,0.0,0.0,1.38
400.0,-90.215,200.0,180.0,0.0,0.0,1.39
400.0,-89.965,200.0,180.0,0.0,0.0,1.4
400.0,-89.715,200.0,180.0,0.0,0.0,1.41
400.0,-89.464,200.0,180.0,0.0,0.0,1.42
400.0,-89.214,200.0,180.0,0.0,0.0,1.43
400.0,-88.964,200.0,180.0,0.0,0.0,1.44
400.0,-88.714,200.0,180.0,0.0,0.0,1.45
400.0,-88.463,200.0,180.0,0.0,0.0,1.46
400.0,-88.213,200.0,180.0,0.0,0.0,1.47
400.0,-87.963,200.0,180.0,0.0,0.0,1.48
400.0,-87.713,200.0,180.0,0.0,0.0,1.49
400.0,-87.462,200.0,180.0,0.0,0.0,1.5
400.0,-87.212,200.0,180.0,0.0,0.0,1.51
400.0,-86.962,200.0,180.0,0.0,0.0,1.52
400.0,-86.712,200.0,180.0,0.0,0.0,1.53
400.0,-86.461,200.0,180.0,0.0,0.0,1.54
400.0,-86.211,200.0,180.0,0.0,0.0,1.55
400.0,-85.961,200.0,180.0,0.0,0.0,1.56
400.0,-85.711,200.0,180.0,0.0,0.0,1.57
400.0,-85.46,200.0,180.0,0.0,0.0,1.58
400.0,-85.21,200.0,180.0,0.0,0.0,1.59
400.0,-84.96,200.0,180.0,0.0,0.0,1.6
400.0,-84.71,200.0,180.0,0.0,0.0,1.61
400.0,-84.459,200.0,180.0,0.0,0.0,1.62
400.0,-84.209,200.0,180.0,0.0,0.0,1.63
400.0,-83.959,200.0,180.0,0.0,0.0,1.64
400.0,-83.709,200.0,180.0,0.0,0.0,1.65
400.0,-83.458,200.0,180.0,0.0,0.0,1.66
400.0,-83.208,200.0,180.0,0.0,0.0,1.67
400.0,-82.958,200.0,180.0,0.0,0.0,1.68
400.0,-82.708,200.0,180.0,0.0,0.0,1.69
400.0,-82.457,200.0,180.0,0.0,0.0,1.7
400.0,-82.207,200.0,180.0,0.0,0.0,1.71
400.0,-81.957,200.0,180.0,0.0,0.0,1.72
400.0,-81.707,200.0,180.0,0.0,0.0,1.73
400.0,-81.456,200.0,180.0,0.0,0.0,1.74
400.0,-81.206,200.0,180.0,0.0,0.0,1.75
400.0,-80.956,200.0,180.0,0.0,0.0,1.76
400.0,-80.706,200.0,180.0,0.0,0.0,1.77
400.0,-80.455,200.0,180.0,0.0,0.0,1.78
400.0,-80.205,200.0,180.0,0.0,0.0,1.79
400.0,-79.955,200.0,180.0,0.0,0.0,1.8
400.0,-79.705,200.0,180.0,0.0,0.0,1.81
