x,y,z,rx,ry,rz
303.82263161113514,-5.183222155934568,200.0,180,0,0
303.82960376233564,-5.216570659440809,200.0,180,0,0
303.8244663877669,-5.274456119133232,200.0,180,0,0
303.7325899479342,-5.2964003772396415,200.0,180,0,0
303.7125220785249,-5.228144125228133,200.0,180,0,0
303.77368894448443,-5.1962339950155645,200.0,180,0,0
303.8017610269495,-5.2296248036186785,200.0,180,0,0
303.8541209650768,-5.281913903353367,200.0,180,0,0
303.83533743930974,-5.311980740059338,200.0,180,0,0
303.71589348058563,-5.213010987718233,200.0,180,0,0
303.77132666957107,-5.142778483324244,200.0,180,0,0
303.7894106867474,-5.206659179602057,200.0,180,0,0
303.81322838089767,-5.288144839764192,200.0,180,0,0
303.7843535836562,-5.324231087396626,200.0,180,0,0
303.7299409891722,-5.302873057061168,200.0,180,0,0
303.7365232503384,-5.2269777132715,200.0,180,0,0
303.70861171082856,-5.2574373830198615,200.0,180,0,0
303.74850663521426,-5.241566928107322,200.0,180,0,0
303.76382702008897,-5.238309435648124,200.0,180,0,0
303.7685974393314,-5.184672616398776,200.0,180,0,0
303.74522697198506,-5.163616765326694,200.0,180,0,0
303.7526692846974,-5.232555942473431,200.0,180,0,0
303.754309116312,-5.301827516809885,200.0,180,0,0
303.7761085561675,-5.356830186329693,200.0,180,0,0
303.8005684221389,-5.313364721085604,200.0,180,0,0
303.8107514324449,-5.300105095008639,200.0,180,0,0
303.7851104290168,-5.33200918163594,200.0,180,0,0
303.80572873141557,-5.361568357179439,200.0,180,0,0
303.8047654736839,-5.311817563257115,200.0,180,0,0
303.79084410599086,-5.266273104680994,200.0,180,0,0
303.76559299259696,-5.255642438195405,200.0,180,0,0
303.8040315630313,-5.276788943046499,200.0,180,0,0
303.79272475203834,-5.303719158998622,200.0,180,0,0
303.80974230529745,-5.320151667341042,200.0,180,0,0
303.7456971334969,-5.308463373433636,200.0,180,0,0
303.73107625721303,-5.256452278621254,200.0,180,0,0
303.79045421595663,-5.2656324846426354,200.0,180,0,0
303.83221831903586,-5.291474855246602,200.0,180,0,0
303.82408796508656,-5.2783844495571275,200.0,180,0,0
303.7961993602846,-5.253962321491031,200.0,180,0,0
303.7666479891603,-5.233903661988092,200.0,180,0,0
303.7819110372653,-5.271011275530738,200.0,180,0,0
303.82352606474313,-5.28210125449666,200.0,180,0,0
303.84448838776035,-5.297687660901626,200.0,180,0,0
303.92274161110265,-5.373039082017216,200.0,180,0,0
304.0881925938668,-5.421478417936484,200.0,180,0,0
304.16782189968285,-5.447659229315433,200.0,180,0,0
304.18378445637865,-5.486573874853072,200.0,180,0,0
304.35377651130625,-5.648070560372064,200.0,180,0,0
304.6436024149922,-5.89191109516118,200.0,180,0,0
304.7912789991366,-6.029553749629223,200.0,180,0,0
304.7926780163183,-6.066063048230383,200.0,180,0,0
304.777472304983,-6.140526062311646,200.0,180,0,0
304.7605923599713,-6.162428015321182,200.0,180,0,0
304.74523757303473,-6.106561113108117,200.0,180,0,0
304.732359734551,-6.10479034262473,200.0,180,0,0
304.7460288204572,-6.141486992369183,200.0,180,0,0
304.7405015558541,-6.208915273199039,200.0,180,0,0
304.7408685111805,-6.185309029144059,200.0,180,0,0
304.75357433935505,-6.122866706159917,200.0,180,0,0
304.7553861812789,-6.0836921864557745,200.0,180,0,0
304.76845896477977,-6.149990316840602,200.0,180,0,0
304.74717555585204,-6.21067395651189,200.0,180,0,0
304.75238173454443,-6.207452725564296,200.0,180,0,0
304.7568081331685,-6.151096292944559,200.0,180,0,0
304.79984511253593,-6.12388807207013,200.0,180,0,0
304.800269404632,-6.150159537228093,200.0,180,0,0
304.81001665548797,-6.16816337774007,200.0,180,0,0
304.81204637713677,-6.167432103922699,200.0,180,0,0
304.79735669672914,-6.089228110560834,200.0,180,0,0
304.79907679982136,-6.0708072626653955,200.0,180,0,0
304.7864512431245,-6.134307213071356,200.0,180,0,0
304.8001203290306,-6.170574768261815,200.0,180,0,0
304.7336555455471,-6.214088582188046,200.0,180,0,0
304.74114372767525,-6.1909718685397355,200.0,180,0,0
304.6747936177312,-6.197372025338052,200.0,180,0,0
304.5471046315183,-6.2721311750974245,200.0,180,0,0
304.521968191664,-6.342677945925326,200.0,180,0,0
304.45331314357634,-6.33189014622278,200.0,180,0,0
304.2609597484498,-6.379332290572908,200.0,180,0,0
304.1614460508876,-6.443841519718545,200.0,180,0,0
304.00092603032124,-6.540961934967785,200.0,180,0,0
303.9909035629705,-6.6006967317520715,200.0,180,0,0
303.9811563121146,-6.614615108623198,200.0,180,0,0
304.00460705093855,-6.567269661637352,200.0,180,0,0
304.02133792034897,-6.577090487697092,200.0,180,0,0
304.0212691162253,-6.5936559549153975,200.0,180,0,0
304.0379770509278,-6.595432768984052,200.0,180,0,0
304.0403851952569,-6.578939824788956,200.0,180,0,0
304.0185628206935,-6.589358965790182,200.0,180,0,0
304.0134942502484,-6.590422636797267,200.0,180,0,0
304.02383780350965,-6.588802955945568,200.0,180,0,0
304.0349840715473,-6.565021447917831,200.0,180,0,0
304.04717386879423,-6.570502979755482,200.0,180,0,0
304.0436075217163,-6.597952944040612,200.0,180,0,0
304.0450524083138,-6.593021378462306,200.0,180,0,0
304.01073061794693,-6.588065638542929,200.0,180,0,0
