x,y,z,rx,ry,rz
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.36076450212204,-40.91819129565195,250.79412214911528,89.99993699994184,6.652522424186666e-05,179.99994632812084
418.3606073686756,-40.91823015066878,250.7940856688168,89.99993699995396,6.345048631565144e-05,179.99995948846507
412.29401148027546,-39.460235198204025,250.96552085882269,89.99979975194304,-0.05965717321471473,180.1438441661122
403.05724221325977,-36.802957885642506,252.51090516560325,89.9997440410486,-0.04927359683145384,180.11823308723112
398.5564648841326,-35.4878032294746,253.16376735067547,89.99971516647405,-0.0441500331285505,180.10574717561394
394.0633953035639,-34.16166147954498,253.74988413379344,89.99968518529641,-0.038992047320130716,180.09327568242176
384.8904901684385,-31.413346721038355,254.742140975724,89.9996203032279,-0.02832318200810512,180.06778410279762
380.4255040762222,-30.055781034815947,255.1254094321563,89.99958689219585,-0.02306047845545415,180.05535698980447
375.97123000780897,-28.688592540614206,255.44233435337205,89.99955233710288,-0.017763476442765283,180.0429445826844
371.5284025147252,-27.31212709798017,255.69303742559472,89.99951662882715,-0.012432206853993268,180.03054695229977
367.09775290257346,-25.926733944859887,255.87764917768507,89.99947975829978,-0.007066700706076575,180.01816416945098
362.6800091315833,-24.532765642459985,255.996308962649,89.99944171650509,-0.001666989148803897,180.00579630487675
358.2758957177477,-23.130578019429795,256.04916493805894,89.99940249448078,0.0037668965353682723,179.9934434292535
353.8861336345473,-21.720530115372497,256.03637404540393,89.99936208331819,0.009234924931342177,179.98110561319533
349.51144021527494,-20.30298412369042,255.95810198835605,89.99932047416254,0.014737064491623932,179.9687829272537
344.9453676190778,-18.81029182955193,255.8060602424162,89.99927558910781,0.02053776252877874,179.9558897515396
336.27936665548344,-15.940404136682844,255.31754038765064,89.99918618528369,0.03171555121097797,179.9313221255646
331.9729148382848,-14.496271534536145,254.97609784341563,89.9991396377702,0.03735543477566095,179.91906139998525
327.4813880502164,-12.977345260132367,254.5492068019115,89.99908954159218,0.04330029706712722,179.90623344044215
319.16811100399366,-10.13165350906915,253.56558022318742,89.9989925100355,0.05447865540070805,179.88237241546716
315.1411672248925,-8.737142619119577,252.99736052821493,89.99894342854047,0.05997835358186075,179.8707545692348
310.73391310142085,-7.198891878381677,252.30569890313888,89.99888810266775,0.06606345232643067,179.85799145350944
306.5775720585263,-5.739536253053411,251.48353490043985,89.9988554401806,0.06363897462531753,179.86396967538585
304.15021745935076,-5.061040717073451,250.38216386861046,89.99889986089644,0.003129807808241418,179.99696251788447
303.96438405572593,-5.143338499513528,250.6238785228504,89.9995216597153,0.0012446715267751863,179.99903737546381
303.835296823338,-5.21436353878637,250.79287750236884,89.99997999995887,5.4211365699397244e-05,179.9999489497524
303.8290977676979,-5.268210682373379,250.79592187275534,89.9999440000468,1.3612892852676136e-05,180.00009279451237
303.71956908416587,-5.247704838682558,250.79525172856964,90.00005742657747,9.509441510520755e-05,179.9997491412554
303.7677660493307,-5.200657947260271,250.80549920782676,90.0000399999681,-5.860279684681939e-05,180.00002703168784
303.8142123525843,-5.2444507861668646,250.8111513190887,89.99998334733755,0.000213315694399238,179.99953612670922
303.83967903696293,-5.304359790551507,250.79993555544377,89.99993200001798,4.8052416500434504e-05,180.00003195254791
303.7260926515293,-5.217386495093812,250.79502913318012,89.99999500169694,0.0002606355001377176,179.99948585850984
303.7271476587832,-5.210752937190923,250.79450322519165,89.99999599984663,8.97789331040667e-05,179.99980997100897
303.76532517914603,-5.148306224328181,250.8046292708332,90.00004999997424,-6.121123351454155e-05,180.00001594317393
303.7898216178084,-5.198958293946916,250.80522906705832,89.99993400003507,-4.854300823172635e-06,180.0001034073632
303.79815754863665,-5.2176917953711,250.80543572785396,89.99993362611681,6.865682216749884e-05,179.99996644335158
303.79007932480533,-5.3182981731066805,250.79619914060842,89.99994699998264,5.837372120575048e-05,179.99999268502972
303.761968797196,-5.309274477295206,250.7947701215073,89.99996443101672,7.872409212605802e-05,179.99992023268447
303.7355271115036,-5.300840514988946,250.79289192976216,89.9999809999597,5.3324594946042864e-05,179.99994855597666
303.7324639397774,-5.234843842686552,250.79939090375132,90.00007100002273,-4.646130922558307e-05,179.9999621800783
303.7260220554619,-5.249755108702679,250.79977613483612,89.99998105049667,3.221212720064345e-05,179.99994612252652
303.75771484007896,-5.242722679061143,250.80576539498978,90.00003899996527,-5.985790127731106e-05,180.00002974948086
303.7628740715898,-5.191224869505185,250.80324019314716,90.00005899998794,-5.950590989326493e-05,180.0000002154501
303.75701048894837,-5.224179460115415,250.79980507852795,89.99992800002684,3.77208526591284e-05,180.00004494994783
303.7579959569445,-5.233644001989008,250.79962370413062,89.9999280857836,5.33001427161308e-05,180.00002563884573
303.7792537154184,-5.348697203746017,250.80228648530516,89.99992700003412,3.803022688013717e-05,180.00005377454568
